Epoch: 189/1000 | Train Loss: 0.000854 | Time: 24.17s | LR: 6.318737500113461e-12
Epoch: 190/1000 | Train Loss: 0.000855 | Time: 25.72s | LR: 5.054990000090769e-12
Epoch: 191/1000 | Train Loss: 0.000855 | Time: 25.49s | LR: 5.054990000090769e-12
Epoch: 192/1000 | Train Loss: 0.000855 | Time: 24.43s | LR: 4.043992000072615e-12
Epoch: 193/1000 | Train Loss: 0.000855 | Time: 23.77s | LR: 3.2351936000580926e-12
Epoch: 194/1000 | Train Loss: 0.000855 | Time: 23.47s | LR: 2.5881548800464742e-12
Epoch: 195/1000 | Train Loss: 0.000855 | Time: 23.73s | LR: 2.0705239040371796e-12
Epoch: 196/1000 | Train Loss: 0.000855 | Time: 23.5s | LR: 1.6564191232297436e-12
Epoch: 197/1000 | Train Loss: 0.000854 | Time: 24.14s | LR: 1.6564191232297436e-12
Epoch: 198/1000 | Train Loss: 0.000855 | Time: 24.93s | LR: 1.325135298583795e-12
Epoch: 199/1000 | Train Loss: 0.000855 | Time: 25.18s | LR: 1.325135298583795e-12
Epoch: 200/1000 | Train Loss: 0.000855 | Time: 24.62s | LR: 1.325135298583795e-12
Epoch: 201/1000 | Train Loss: 0.000855 | Time: 29.33s | LR: 1.060108238867036e-12
Epoch: 202/1000 | Train Loss: 0.000855 | Time: 25.28s | LR: 8.480865910936287e-13
Epoch: 203/1000 | Train Loss: 0.000855 | Time: 24.56s | LR: 8.480865910936287e-13
Epoch: 204/1000 | Train Loss: 0.000855 | Time: 24.07s | LR: 8.480865910936287e-13
Epoch: 205/1000 | Train Loss: 0.000855 | Time: 24.46s | LR: 6.784692728749031e-13
Epoch: 206/1000 | Train Loss: 0.000854 | Time: 23.27s | LR: 6.784692728749031e-13
Epoch: 207/1000 | Train Loss: 0.000855 | Time: 24.56s | LR: 5.427754182999225e-13
Epoch: 208/1000 | Train Loss: 0.000855 | Time: 30.92s | LR: 4.34220334639938e-13
Epoch: 209/1000 | Train Loss: 0.000855 | Time: 23.93s | LR: 3.4737626771195043e-13
Epoch: 210/1000 | Train Loss: 0.000855 | Time: 23.62s | LR: 3.4737626771195043e-13
Epoch: 211/1000 | Train Loss: 0.000855 | Time: 24.42s | LR: 3.4737626771195043e-13
